  0%|          | 0/1504 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                   
{'loss': 2.0887, 'grad_norm': 111.62688446044922, 'learning_rate': 2e-05, 'mean_token_accuracy': 0.5554950833320618, 'epoch': 0.0}
{'loss': 0.7926, 'grad_norm': 5.985498905181885, 'learning_rate': 1.8776595744680852e-05, 'mean_token_accuracy': 0.7407628297805786, 'epoch': 0.12}
{'loss': 0.7834, 'grad_norm': 4.434234142303467, 'learning_rate': 1.8763297872340427e-05, 'mean_token_accuracy': 0.7601265907287598, 'epoch': 0.12}
{'loss': 1.0137, 'grad_norm': 7.076483726501465, 'learning_rate': 1.8750000000000002e-05, 'mean_token_accuracy': 0.7079645991325378, 'epoch': 0.13}
{'loss': 0.969, 'grad_norm': 6.831459045410156, 'learning_rate': 1.8736702127659576e-05, 'mean_token_accuracy': 0.7036619782447815, 'epoch': 0.13}
{'loss': 0.9551, 'grad_norm': 5.445728778839111, 'learning_rate': 1.872340425531915e-05, 'mean_token_accuracy': 0.7100591659545898, 'epoch': 0.13}
{'loss': 1.0446, 'grad_norm': 7.536431312561035, 'learning_rate': 1.8710106382978726e-05, 'mean_token_accuracy': 0.7147727012634277, 'epoch': 0.13}
{'loss': 0.8463, 'grad_norm': 5.587440490722656, 'learning_rate': 1.86968085106383e-05, 'mean_token_accuracy': 0.7409766316413879, 'epoch': 0.13}
{'loss': 0.8364, 'grad_norm': 7.523820877075195, 'learning_rate': 1.8683510638297875e-05, 'mean_token_accuracy': 0.7623574137687683, 'epoch': 0.13}
{'loss': 0.8518, 'grad_norm': 5.451530933380127, 'learning_rate': 1.8670212765957446e-05, 'mean_token_accuracy': 0.7197021245956421, 'epoch': 0.13}
{'loss': 0.8329, 'grad_norm': 6.669727325439453, 'learning_rate': 1.865691489361702e-05, 'mean_token_accuracy': 0.7438231706619263, 'epoch': 0.14}
{'loss': 1.0843, 'grad_norm': 4.918135166168213, 'learning_rate': 1.8643617021276596e-05, 'mean_token_accuracy': 0.6975982785224915, 'epoch': 0.14}
{'loss': 1.003, 'grad_norm': 8.400041580200195, 'learning_rate': 1.863031914893617e-05, 'mean_token_accuracy': 0.7156640291213989, 'epoch': 0.14}
{'loss': 0.7802, 'grad_norm': 13.070426940917969, 'learning_rate': 1.8617021276595745e-05, 'mean_token_accuracy': 0.7543209791183472, 'epoch': 0.14}
{'loss': 1.0325, 'grad_norm': 6.623015880584717, 'learning_rate': 1.860372340425532e-05, 'mean_token_accuracy': 0.7041156888008118, 'epoch': 0.14}
{'loss': 0.9951, 'grad_norm': 5.681027889251709, 'learning_rate': 1.8590425531914894e-05, 'mean_token_accuracy': 0.7164449691772461, 'epoch': 0.14}
{'loss': 0.9684, 'grad_norm': 5.319555759429932, 'learning_rate': 1.857712765957447e-05, 'mean_token_accuracy': 0.7082590460777283, 'epoch': 0.14}
{'loss': 0.9236, 'grad_norm': 7.347541332244873, 'learning_rate': 1.8563829787234043e-05, 'mean_token_accuracy': 0.7321428656578064, 'epoch': 0.14}
{'loss': 0.8054, 'grad_norm': 4.945249080657959, 'learning_rate': 1.8550531914893618e-05, 'mean_token_accuracy': 0.7599080801010132, 'epoch': 0.15}
{'loss': 0.8719, 'grad_norm': 6.484306812286377, 'learning_rate': 1.8537234042553193e-05, 'mean_token_accuracy': 0.7494456768035889, 'epoch': 0.15}
{'loss': 0.9225, 'grad_norm': 5.363780498504639, 'learning_rate': 1.8523936170212767e-05, 'mean_token_accuracy': 0.7221159934997559, 'epoch': 0.15}
{'loss': 0.8847, 'grad_norm': 4.652944564819336, 'learning_rate': 1.8510638297872342e-05, 'mean_token_accuracy': 0.7377278804779053, 'epoch': 0.15}
{'loss': 0.9443, 'grad_norm': 5.035211086273193, 'learning_rate': 1.8497340425531917e-05, 'mean_token_accuracy': 0.7288753986358643, 'epoch': 0.15}
{'loss': 0.7355, 'grad_norm': 4.865050315856934, 'learning_rate': 1.848404255319149e-05, 'mean_token_accuracy': 0.791073739528656, 'epoch': 0.15}
{'loss': 0.6842, 'grad_norm': 5.070450305938721, 'learning_rate': 1.8470744680851066e-05, 'mean_token_accuracy': 0.7715179920196533, 'epoch': 0.15}
{'loss': 0.9679, 'grad_norm': 6.763361930847168, 'learning_rate': 1.845744680851064e-05, 'mean_token_accuracy': 0.7234774231910706, 'epoch': 0.16}
{'loss': 0.7329, 'grad_norm': 5.145813465118408, 'learning_rate': 1.8444148936170215e-05, 'mean_token_accuracy': 0.7647515535354614, 'epoch': 0.16}
{'loss': 0.9134, 'grad_norm': 9.188718795776367, 'learning_rate': 1.843085106382979e-05, 'mean_token_accuracy': 0.7278562188148499, 'epoch': 0.16}
{'loss': 1.047, 'grad_norm': 7.6749725341796875, 'learning_rate': 1.8417553191489365e-05, 'mean_token_accuracy': 0.6966966986656189, 'epoch': 0.16}
{'loss': 1.1044, 'grad_norm': 6.480887413024902, 'learning_rate': 1.840425531914894e-05, 'mean_token_accuracy': 0.6896364688873291, 'epoch': 0.16}
{'loss': 0.9868, 'grad_norm': 5.2170562744140625, 'learning_rate': 1.8390957446808514e-05, 'mean_token_accuracy': 0.7160725593566895, 'epoch': 0.16}
{'loss': 0.7847, 'grad_norm': 5.771252155303955, 'learning_rate': 1.837765957446809e-05, 'mean_token_accuracy': 0.7475360035896301, 'epoch': 0.16}
{'loss': 0.676, 'grad_norm': 5.483835697174072, 'learning_rate': 1.8364361702127663e-05, 'mean_token_accuracy': 0.7803598046302795, 'epoch': 0.16}
{'loss': 0.899, 'grad_norm': 6.217457294464111, 'learning_rate': 1.8351063829787234e-05, 'mean_token_accuracy': 0.7296954393386841, 'epoch': 0.17}
{'loss': 0.9321, 'grad_norm': 6.664931774139404, 'learning_rate': 1.833776595744681e-05, 'mean_token_accuracy': 0.7320544719696045, 'epoch': 0.17}
{'loss': 0.811, 'grad_norm': 5.131463050842285, 'learning_rate': 1.8324468085106384e-05, 'mean_token_accuracy': 0.757488489151001, 'epoch': 0.17}
{'loss': 0.8462, 'grad_norm': 5.8917646408081055, 'learning_rate': 1.831117021276596e-05, 'mean_token_accuracy': 0.7393689751625061, 'epoch': 0.17}
{'loss': 1.1249, 'grad_norm': 6.267746925354004, 'learning_rate': 1.8297872340425533e-05, 'mean_token_accuracy': 0.6790058016777039, 'epoch': 0.17}
{'loss': 0.8489, 'grad_norm': 5.440019607543945, 'learning_rate': 1.8284574468085108e-05, 'mean_token_accuracy': 0.7408450841903687, 'epoch': 0.17}
{'loss': 0.6722, 'grad_norm': 4.213356018066406, 'learning_rate': 1.8271276595744682e-05, 'mean_token_accuracy': 0.7828525900840759, 'epoch': 0.17}
{'loss': 0.6729, 'grad_norm': 5.183226108551025, 'learning_rate': 1.8257978723404257e-05, 'mean_token_accuracy': 0.7894110679626465, 'epoch': 0.18}
{'loss': 1.0649, 'grad_norm': 6.863396644592285, 'learning_rate': 1.824468085106383e-05, 'mean_token_accuracy': 0.6947700381278992, 'epoch': 0.18}
{'loss': 0.7574, 'grad_norm': 7.831796169281006, 'learning_rate': 1.8231382978723406e-05, 'mean_token_accuracy': 0.7438316345214844, 'epoch': 0.18}
{'loss': 0.7558, 'grad_norm': 4.2061614990234375, 'learning_rate': 1.821808510638298e-05, 'mean_token_accuracy': 0.7564550042152405, 'epoch': 0.18}
{'loss': 0.8069, 'grad_norm': 6.484240531921387, 'learning_rate': 1.8204787234042556e-05, 'mean_token_accuracy': 0.7841880321502686, 'epoch': 0.18}
{'loss': 0.9159, 'grad_norm': 5.643845081329346, 'learning_rate': 1.8191489361702127e-05, 'mean_token_accuracy': 0.7122762203216553, 'epoch': 0.18}
{'loss': 0.4904, 'grad_norm': 3.441502571105957, 'learning_rate': 1.81781914893617e-05, 'mean_token_accuracy': 0.8432137370109558, 'epoch': 0.18}
{'loss': 0.9026, 'grad_norm': 4.754497051239014, 'learning_rate': 1.8164893617021276e-05, 'mean_token_accuracy': 0.7347150444984436, 'epoch': 0.18}
{'loss': 0.6246, 'grad_norm': 6.556939601898193, 'learning_rate': 1.815159574468085e-05, 'mean_token_accuracy': 0.8198959827423096, 'epoch': 0.19}
{'loss': 1.061, 'grad_norm': 8.81905746459961, 'learning_rate': 1.8138297872340425e-05, 'mean_token_accuracy': 0.7080115675926208, 'epoch': 0.19}
{'loss': 0.9098, 'grad_norm': 6.190483093261719, 'learning_rate': 1.8125e-05, 'mean_token_accuracy': 0.7201722264289856, 'epoch': 0.19}
{'loss': 0.8146, 'grad_norm': 6.175531387329102, 'learning_rate': 1.8111702127659575e-05, 'mean_token_accuracy': 0.7701149582862854, 'epoch': 0.19}
{'loss': 0.9115, 'grad_norm': 4.9697980880737305, 'learning_rate': 1.809840425531915e-05, 'mean_token_accuracy': 0.7518247961997986, 'epoch': 0.19}
{'loss': 0.7477, 'grad_norm': 5.550052642822266, 'learning_rate': 1.8085106382978724e-05, 'mean_token_accuracy': 0.7598705291748047, 'epoch': 0.19}
{'loss': 0.8721, 'grad_norm': 5.438040256500244, 'learning_rate': 1.80718085106383e-05, 'mean_token_accuracy': 0.7383067011833191, 'epoch': 0.19}
{'loss': 0.5636, 'grad_norm': 5.895829200744629, 'learning_rate': 1.8058510638297873e-05, 'mean_token_accuracy': 0.8455284833908081, 'epoch': 0.2}
{'loss': 0.8039, 'grad_norm': 6.670621395111084, 'learning_rate': 1.8045212765957448e-05, 'mean_token_accuracy': 0.7749667167663574, 'epoch': 0.2}
{'loss': 0.8544, 'grad_norm': 5.81742000579834, 'learning_rate': 1.8031914893617023e-05, 'mean_token_accuracy': 0.7403916120529175, 'epoch': 0.2}
{'loss': 1.0066, 'grad_norm': 11.842692375183105, 'learning_rate': 1.8018617021276597e-05, 'mean_token_accuracy': 0.6840612888336182, 'epoch': 0.2}
{'loss': 0.7755, 'grad_norm': 4.4999098777771, 'learning_rate': 1.8005319148936172e-05, 'mean_token_accuracy': 0.7453733086585999, 'epoch': 0.2}
{'loss': 0.8674, 'grad_norm': 6.592318058013916, 'learning_rate': 1.7992021276595747e-05, 'mean_token_accuracy': 0.761508584022522, 'epoch': 0.2}
{'loss': 0.9147, 'grad_norm': 4.196346282958984, 'learning_rate': 1.797872340425532e-05, 'mean_token_accuracy': 0.7282674908638, 'epoch': 0.2}
{'loss': 0.714, 'grad_norm': 5.909175872802734, 'learning_rate': 1.7965425531914896e-05, 'mean_token_accuracy': 0.7726700305938721, 'epoch': 0.2}
{'loss': 0.9897, 'grad_norm': 8.800924301147461, 'learning_rate': 1.795212765957447e-05, 'mean_token_accuracy': 0.7113606333732605, 'epoch': 0.21}
{'loss': 0.7879, 'grad_norm': 7.668394088745117, 'learning_rate': 1.7938829787234045e-05, 'mean_token_accuracy': 0.7521631717681885, 'epoch': 0.21}
{'loss': 0.7965, 'grad_norm': 5.807424545288086, 'learning_rate': 1.792553191489362e-05, 'mean_token_accuracy': 0.764598548412323, 'epoch': 0.21}
{'loss': 0.6204, 'grad_norm': 7.253560543060303, 'learning_rate': 1.7912234042553194e-05, 'mean_token_accuracy': 0.8103779554367065, 'epoch': 0.21}
{'loss': 0.8416, 'grad_norm': 5.212221622467041, 'learning_rate': 1.789893617021277e-05, 'mean_token_accuracy': 0.7566765546798706, 'epoch': 0.21}
{'loss': 0.9016, 'grad_norm': 5.46806526184082, 'learning_rate': 1.788563829787234e-05, 'mean_token_accuracy': 0.7318668365478516, 'epoch': 0.21}
{'loss': 0.7474, 'grad_norm': 4.8771586418151855, 'learning_rate': 1.7872340425531915e-05, 'mean_token_accuracy': 0.7771129608154297, 'epoch': 0.21}
{'loss': 0.7666, 'grad_norm': 8.900245666503906, 'learning_rate': 1.785904255319149e-05, 'mean_token_accuracy': 0.7519163489341736, 'epoch': 0.22}
{'loss': 0.8415, 'grad_norm': 5.24864387512207, 'learning_rate': 1.7845744680851064e-05, 'mean_token_accuracy': 0.7298443913459778, 'epoch': 0.22}
{'loss': 1.013, 'grad_norm': 6.684497356414795, 'learning_rate': 1.783244680851064e-05, 'mean_token_accuracy': 0.7145338654518127, 'epoch': 0.22}
{'loss': 0.8542, 'grad_norm': 5.605600833892822, 'learning_rate': 1.7819148936170214e-05, 'mean_token_accuracy': 0.7339181303977966, 'epoch': 0.22}
{'loss': 0.9708, 'grad_norm': 6.939317226409912, 'learning_rate': 1.7805851063829788e-05, 'mean_token_accuracy': 0.7279366850852966, 'epoch': 0.22}
